,Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G_x,A_x,P_x,G_y,A_y,P_y,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
1973,John Wensink,L,L,1953-04-01,Cornwall,ON,CAN,CAN,70,198,1973,7,104,19731974,N,403,70,68,138,70,68,138,22,840,0.34,67,131,3,7,0,0,0,10,477,14.7,--,--
1974,Dan Bolduc,L,R,1953-04-06,Waterville,ME,USA,USA,69,180,--,--,--,19781979,N,102,22,19,41,22,19,41,-22,33,0.4,17,34,5,7,0,0,0,4,137,16.1,--,--
1975,John Rogers,R,R,1953-04-10,Paradise Hill,SK,CAN,CAN,71,175,1973,2,25,19731974,N,14,2,4,6,2,4,6,0,0,0.43,2,6,0,0,0,0,0,0,15,13.3,--,--
1976,Bob Gassoff,L,D,1953-04-17,Quesnel,BC,CAN,CAN,70,195,1973,3,48,19731974,N,245,11,47,58,11,47,58,-13,866,0.24,10,54,1,3,0,1,0,4,309,3.6,--,--
1977,Blake Dunlop,R,C,1953-04-18,Hamilton,ON,CAN,CAN,70,170,1973,2,18,19731974,N,550,130,274,404,130,274,404,-13,172,0.73,87,286,41,107,2,11,0,16,859,15.1,--,--
1978,Al Sims,--,D,1953-04-18,Toronto,ON,CAN,CAN,72,182,1973,3,47,19731974,N,476,49,116,165,49,116,165,119,286,0.35,42,120,7,42,0,3,0,6,797,6.2,--,--
1979,Reginald Thomas,L,C,1953-04-21,Lambeth,ON,CAN,CAN,70,180,1973,2,29,19791980,N,39,9,7,16,9,7,16,-5,6,0.41,7,12,2,4,0,0,0,0,89,10.1,--,--
1980,Tom Lysiak,L,C,1953-04-22,Kingston,ON,CAN,CAN,72,205,1973,1,2,19731974,N,919,292,551,843,292,551,843,-11,567,0.92,209,584,75,245,8,14,0,41,"2,210",13.2,--,--
1981,Dennis Abgrall,R,R,1953-04-24,Tisdale,SK,CAN,CAN,73,180,1973,5,70,19751976,N,13,0,2,2,0,2,2,-7,4,0.15,0,1,0,1,0,0,0,0,9,0,--,--
1982,Bob Stumpf,R,R,1953-04-25,Milo,AB,CAN,CAN,73,195,1973,3,40,19741975,N,10,1,1,2,1,1,2,-2,20,0.2,1,2,0,0,0,0,0,0,9,11.1,--,--
1983,Glenn Goldup,L,R,1953-04-26,St. Catharines,ON,CAN,CAN,72,190,1973,2,17,19731974,N,291,52,67,119,52,67,119,-20,303,0.41,47,108,5,11,0,0,0,4,421,12.4,--,--
1984,Frank Beaton,L,L,1953-04-28,Antigonish,NS,CAN,CAN,70,200,--,--,--,19781979,N,25,1,1,2,1,1,2,-6,43,0.08,1,2,0,0,0,0,0,0,19,5.3,--,--
1985,Bob Dailey,R,D,1953-05-03,Kingston,ON,CAN,CAN,77,220,1973,1,9,19731974,N,561,94,231,325,94,231,325,62,814,0.58,62,207,29,108,3,10,0,12,"1,380",6.8,--,--
1986,Bruce Greig,L,L,1953-05-09,High River,AB,CAN,CAN,74,220,1973,8,114,19731974,N,9,0,1,1,0,1,1,-3,46,0.11,0,1,0,0,0,0,0,0,5,0,--,--
1987,Brett Callighen,L,C,1953-05-15,Toronto,ON,CAN,CAN,71,182,--,--,--,19791980,N,160,56,89,145,56,89,145,25,132,0.91,39,111,17,34,0,0,0,2,373,15,--,--
1988,Pat Hickey,L,L,1953-05-15,Brantford,ON,CAN,CAN,73,190,1973,2,30,19751976,N,644,192,212,404,192,212,404,-91,351,0.63,151,310,36,83,5,11,0,15,"1,217",15.8,--,--
1989,Les Auge,L,D,1953-05-16,St. Paul,MN,USA,USA,73,190,--,--,--,19801981,N,6,0,3,3,0,3,3,-3,4,0.5,0,3,0,0,0,0,0,0,3,0,--,--
1990,Dan Hinton,L,L,1953-05-24,Toronto,ON,CAN,CAN,73,180,1973,5,77,19761977,N,14,0,0,0,0,0,0,-5,16,0.0,0,0,0,0,0,0,0,0,11,0,--,--
1991,Russell Walker,R,R,1953-05-24,Red Deer,AB,CAN,CAN,74,185,1973,3,38,19761977,N,17,1,0,1,1,0,1,-2,41,0.06,1,1,0,0,0,0,0,0,12,8.3,--,--
1992,Jim Moxey,L,R,1953-05-28,Toronto,ON,CAN,CAN,73,190,1973,5,66,19741975,N,127,22,27,49,22,27,49,-29,59,0.39,18,36,4,12,0,1,0,0,245,9,--,--
1993,Jim McCrimmon,R,D,1953-05-29,Ponoka,AB,CAN,CAN,73,210,1973,4,54,19741975,N,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,--,--,--
1994,Bill Bennett,L,L,1953-05-31,Warwick,RI,USA,USA,77,235,--,--,--,19781979,N,31,4,7,11,4,7,11,5,65,0.35,2,9,2,2,0,0,0,0,19,21.1,--,--
1995,Frantisek Cernik,R,L,1953-06-03,Novy Jicin,--,CZE,CZE,70,189,--,--,--,19841985,N,49,5,4,9,5,4,9,-7,13,0.18,5,9,0,0,0,0,0,0,50,10,--,--
1996,Milan Chalupa,R,D,1953-06-04,Jihlava,--,CZE,CZE,70,183,1984,3,49,19841985,N,14,0,5,5,0,5,5,5,6,0.36,0,5,0,0,0,0,0,0,10,0,--,--
1997,George Pesut,L,D,1953-06-17,Saskatoon,SK,CAN,CAN,72,196,1973,2,24,19741975,N,92,3,22,25,3,22,25,-23,130,0.27,1,16,2,9,0,0,0,0,68,4.4,--,--
1998,Dave Lewis,L,D,1953-07-03,Kindersley,SK,CAN,CAN,74,205,1973,3,33,19731974,N,"1,008",36,187,223,36,187,223,91,955,0.22,32,210,1,6,3,7,0,6,961,3.8,--,--
1999,Randy Macgregor,L,R,1953-07-09,London,ON,CAN,CAN,69,174,--,--,--,19811982,N,2,1,1,2,1,1,2,2,2,1.0,1,2,0,0,0,0,0,0,1,100,--,--
2000,Ron Andruff,R,C,1953-07-10,Port Alberni,BC,CAN,CAN,72,185,1973,2,32,19741975,N,153,19,36,55,19,36,55,-38,54,0.36,19,48,0,6,0,1,0,1,246,7.7,--,--
2001,John Flesch,L,R,1953-07-15,Sudbury,ON,CAN,CAN,74,200,1973,5,69,19741975,N,124,18,23,41,18,23,41,-35,117,0.33,15,36,3,5,0,0,0,3,140,12.9,--,--
2002,Pekka Rautakallio,L,D,1953-07-25,Pori,--,FIN,FIN,74,213,--,--,--,19791980,N,235,33,121,154,33,121,154,13,122,0.66,23,102,10,52,0,0,0,5,409,8.1,--,--
2003,Ken Kuzyk,R,R,1953-08-11,Toronto,ON,CAN,CAN,73,195,--,--,--,19761977,N,41,5,9,14,5,9,14,0,8,0.34,5,11,0,3,0,0,0,0,68,7.4,--,--
2004,Greg Fox,L,D,1953-08-12,Port McNeill,BC,CAN,CAN,74,190,1973,11,162,19771978,N,494,14,92,106,14,92,106,-27,637,0.21,13,99,1,4,0,3,0,1,396,3.5,--,--
2005,Peter Folco,L,D,1953-08-13,Montréal,QC,CAN,CAN,72,185,1973,9,131,19731974,N,2,0,0,0,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,--,--,--
2006,Rick Chinnick,L,R,1953-08-15,Chatham,ON,CAN,CAN,71,180,1973,3,41,19731974,N,4,0,2,2,0,2,2,0,0,0.5,0,2,0,0,0,0,0,0,7,0,--,--
2007,Tom Colley,L,C,1953-08-21,Toronto,ON,CAN,CAN,69,162,1973,4,57,19741975,N,1,0,0,0,0,0,0,-3,2,0.0,0,0,0,0,0,0,0,0,0,--,--,--
2008,Norm Barnes,L,D,1953-08-24,Toronto,ON,CAN,CAN,72,190,1973,8,122,19761977,N,156,6,38,44,6,38,44,-10,178,0.28,6,40,0,4,0,0,0,1,182,3.3,--,--
2009,Paul O'Neil,R,C,1953-08-24,Charlestown,MA,USA,USA,73,185,1973,5,67,19731974,N,6,0,0,0,0,0,0,-3,0,0.0,0,0,0,0,0,0,0,0,3,0,--,--
2010,Bob Lorimer,R,D,1953-08-25,Toronto,ON,CAN,CAN,72,200,1973,9,129,19761977,N,529,22,90,112,22,90,112,30,433,0.21,20,106,2,3,0,3,0,1,485,4.5,--,--
2011,Dean Talafous,R,C,1953-08-25,Duluth,MN,USA,USA,75,180,1973,4,53,19741975,N,497,104,154,258,104,154,258,-76,163,0.52,76,193,23,58,5,7,0,13,750,13.9,--,--
2012,Andre Savard,L,C,1953-09-02,Temiscamingue,QC,CAN,CAN,72,185,1973,1,6,19731974,N,790,211,271,482,211,271,482,120,411,0.61,185,429,16,37,10,16,0,25,"1,382",15.3,--,--
2013,Ken Mann,R,R,1953-09-05,Hamilton,ON,CAN,CAN,71,200,--,--,--,19751976,N,1,0,0,0,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,1,0,--,--
2014,Wayne Bianchin,L,R,1953-09-06,Nanaimo,BC,CAN,CAN,70,180,1973,2,23,19731974,N,276,68,41,109,68,41,109,-42,137,0.39,58,95,9,13,1,1,0,10,433,15.7,--,--
2015,Nelson Pyatt,L,C,1953-09-09,Port Arthur,ON,CAN,CAN,72,175,1973,3,39,19731974,N,296,71,63,134,71,63,134,-137,69,0.45,63,113,8,21,0,0,0,5,490,14.5,--,--
2016,Ken Houston,R,R,1953-09-15,Dresden,ON,CAN,CAN,74,210,1973,6,85,19751976,N,570,161,167,328,161,167,328,-5,624,0.58,133,279,28,48,0,1,0,14,"1,064",15.1,--,--
2017,Mike Korney,R,D,1953-09-15,Dauphin,MB,CAN,CAN,75,195,1973,4,59,19731974,N,77,9,10,19,9,10,19,-16,59,0.25,7,16,2,3,0,0,0,1,93,9.7,--,--
2018,Eric Vail,L,L,1953-09-16,Timmins,ON,CAN,CAN,72,200,1973,2,21,19731974,N,591,216,260,476,216,260,476,37,281,0.81,157,346,57,126,2,4,0,29,"1,388",15.6,--,--
2019,Angelo Moretto,R,C,1953-09-18,Toronto,ON,CAN,CAN,75,216,1973,11,160,19761977,N,5,1,2,3,1,2,3,1,2,0.6,1,2,0,1,0,0,0,0,13,7.7,--,--
2020,Doug Gibson,L,C,1953-09-28,Peterborough,ON,CAN,CAN,70,175,1973,3,36,19731974,N,63,9,19,28,9,19,28,4,0,0.44,8,24,1,4,0,0,0,1,51,17.7,--,--
2021,Denis Potvin,L,D,1953-10-29,Ottawa,ON,CAN,CAN,72,205,1973,1,1,19731974,Y,"1,060",310,742,"1,052",310,742,"1,052",456,"1,356",0.99,173,561,127,459,10,32,0,44,"3,050",10.2,--,--
2022,Ron Serafini,R,D,1953-10-31,Highland Park,MI,USA,USA,71,180,1973,4,50,19731974,N,2,0,0,0,0,0,0,-2,2,0.0,0,0,0,0,0,0,0,0,0,--,--,--
2023,Rick Meagher,L,C,1953-11-02,Belleville,ON,CAN,CAN,68,191,--,--,--,19791980,N,691,144,166,310,144,166,310,-39,383,0.45,115,259,14,30,15,20,2,15,"1,269",11.4,--,--
2024,Lars Zetterstrom,L,D,1953-11-06,Stockholm,--,SWE,SWE,73,198,--,--,--,19781979,N,14,0,1,1,0,1,1,-10,2,0.07,0,1,0,0,0,0,0,0,12,0,--,--
2025,Bob Neely,L,R,1953-11-09,Sarnia,ON,CAN,CAN,72,200,1973,1,10,19731974,N,283,39,59,98,39,59,98,-75,266,0.35,31,74,8,22,0,2,0,6,451,8.7,--,--
2026,Blair MacDonald,R,R,1953-11-17,Cornwall,ON,CAN,CAN,70,180,1973,6,86,19791980,N,219,91,100,191,91,100,191,-8,65,0.87,63,132,26,56,2,3,0,11,582,15.6,--,--
2027,George Lyle,--,L,1953-11-24,North Vancouver,BC,CAN,CAN,74,205,1973,8,123,19791980,N,99,24,38,62,24,38,62,-2,51,0.63,19,50,4,11,1,1,0,2,165,14.6,--,--
2028,Rick Middleton,R,R,1953-12-04,Toronto,ON,CAN,CAN,70,169,1973,1,14,19741975,N,"1,005",448,540,988,448,540,988,175,157,0.98,308,666,115,279,25,43,1,59,"2,272",19.7,--,--
2029,Dennis Polonich,R,C,1953-12-04,Foam Lake,SK,CAN,CAN,66,166,1973,8,118,19741975,N,390,59,82,141,59,82,141,-77,"1,242",0.36,45,114,13,26,1,1,0,1,587,10.1,--,--
2030,Bob Gainey,L,L,1953-12-13,Peterborough,ON,CAN,CAN,74,200,1973,1,8,19731974,Y,"1,160",239,262,501,239,262,501,201,585,0.43,205,439,14,27,20,35,1,34,"2,094",11.4,--,--
2031,Thomas Songin,R,R,1953-12-20,Norwood,MA,USA,USA,75,196,--,--,--,19781979,N,43,5,5,10,5,5,10,-2,22,0.23,4,9,1,1,0,0,0,1,42,11.9,--,--
2032,Ian Turnbull,L,D,1953-12-22,Montréal,QC,CAN,CAN,72,200,1973,1,15,19731974,N,628,123,317,440,123,317,440,23,736,0.7,86,294,33,138,4,8,0,10,"1,971",6.2,--,--
2033,Steve Langdon,L,L,1953-12-23,Toronto,ON,CAN,CAN,71,175,1973,4,63,19741975,N,7,0,1,1,0,1,1,-1,2,0.14,0,1,0,0,0,0,0,0,3,0,--,--
2034,Steve Alley,L,L,1953-12-29,Anoka,MN,USA,USA,72,185,1973,9,141,19791980,N,15,3,3,6,3,3,6,-3,11,0.4,3,6,0,0,0,0,0,0,15,20,--,--
2035,John Stewart,L,C,1954-01-02,Toronto,ON,CAN,CAN,70,169,1974,6,105,19791980,N,2,0,0,0,0,0,0,-2,0,0.0,0,0,0,0,0,0,0,0,4,0,--,--
2036,Vitezslav Duris,L,D,1954-01-05,Plzen,--,CZE,CZE,73,185,--,--,--,19801981,N,89,3,20,23,3,20,23,15,62,0.26,2,18,0,4,1,1,0,0,119,2.5,--,--
2037,Dennis Sobchuk,L,C,1954-01-12,Lang,SK,CAN,CAN,74,180,1974,5,89,19791980,N,35,5,6,11,5,6,11,-10,2,0.31,5,9,0,2,0,0,0,0,49,10.2,--,--
2038,Robert McLean,--,D,1954-01-19,Niagara Falls,ON,CAN,CAN,72,200,1974,2,35,19751976,N,9,0,0,0,0,0,0,-3,6,0.0,0,0,0,0,0,0,0,0,4,0,--,--
2039,Jukka Porvari,L,R,1954-01-19,Tampere,--,FIN,FIN,70,174,--,--,--,19811982,N,39,3,9,12,3,9,12,-23,4,0.31,3,10,0,2,0,0,0,0,55,5.5,--,--
2040,Jamie Hislop,R,R,1954-01-20,Sarnia,ON,CAN,CAN,70,180,1974,8,140,19791980,N,345,75,103,178,75,103,178,-23,86,0.52,65,164,6,8,4,6,0,5,452,16.6,--,--
2041,Bob Murdoch,R,R,1954-01-29,Cranbrook,BC,CAN,CAN,70,191,--,--,--,19751976,N,260,72,85,157,72,85,157,-41,127,0.6,51,112,21,45,0,0,0,13,530,13.6,--,--
2042,Doug Risebrough,--,C,1954-01-29,Guelph,ON,CAN,CAN,70,178,1974,1,7,19741975,N,740,185,286,471,185,286,471,213,"1,542",0.64,167,425,11,36,7,10,1,28,"1,300",14.2,--,--
2043,Robert Stephenson,--,R,1954-02-01,Saskatoon,SK,CAN,CAN,72,187,--,--,--,19791980,N,18,2,3,5,2,3,5,-5,4,0.28,2,5,0,0,0,0,0,0,13,15.4,--,--
2044,Dave Williams,L,L,1954-02-03,Weyburn,SK,CAN,CAN,71,190,1974,2,31,19741975,N,962,241,272,513,241,272,513,-41,"3,971",0.53,190,406,49,103,2,4,1,25,"1,740",13.9,--,--
2045,Roger Lemelin,--,D,1954-02-06,Iroquois Falls,ON,CAN,CAN,75,209,1974,4,56,19741975,N,36,1,2,3,1,2,3,-16,27,0.08,1,3,0,0,0,0,0,0,30,3.3,--,--
2046,Bob Sirois,L,R,1954-02-06,Montréal,QC,CAN,CAN,72,178,1974,3,53,19741975,N,286,92,120,212,92,120,212,-53,42,0.74,68,160,23,51,1,1,0,7,719,12.8,--,--
2047,Brian Kinsella,R,C,1954-02-11,Barrie,ON,CAN,CAN,71,180,1974,6,91,19751976,N,10,0,1,1,0,1,1,-4,0,0.1,0,1,0,0,0,0,0,0,14,0,--,--
2048,Peter Sturgeon,L,L,1954-02-12,Whitehorse,YT,CAN,CAN,74,198,1974,2,36,19791980,N,6,0,1,1,0,1,1,0,2,0.17,0,1,0,0,0,0,0,0,5,0,--,--
2049,Paul Nicholson,L,L,1954-02-16,London,ON,CAN,CAN,72,190,1974,4,55,19741975,N,62,4,8,12,4,8,12,-39,18,0.19,4,12,0,0,0,0,0,1,72,5.6,--,--
2050,Marty Howe,L,D,1954-02-18,Detroit,MI,USA,USA,73,195,1974,3,51,19791980,N,197,2,29,31,2,29,31,7,99,0.16,2,28,0,2,0,1,0,0,178,1.1,--,--
2051,Gary Sargent,--,D,1954-02-18,Red Lake,MN,USA,USA,70,200,1974,3,48,19751976,N,402,61,161,222,61,161,222,29,273,0.55,33,115,28,106,0,1,0,6,876,7,--,--
2052,Charles Luksa,L,D,1954-02-19,Toronto,ON,CAN,CAN,72,189,1974,10,172,19791980,N,8,0,1,1,0,1,1,0,4,0.13,0,1,0,0,0,0,0,0,3,0,--,--
2053,Greg Holst,L,C,1954-02-21,Montréal,QC,CAN,AUT,70,170,1974,8,139,19751976,N,11,0,0,0,0,0,0,-6,0,0.0,0,0,0,0,0,0,0,0,9,0,--,--
2054,Roland Eriksson,L,C,1954-03-01,Stora Tuna,--,SWE,SWE,75,190,1974,8,131,19761977,N,193,48,95,143,48,95,143,-70,26,0.74,35,90,13,52,0,1,0,2,577,8.3,--,--
2055,Eddie Johnstone,R,R,1954-03-02,Brandon,MB,CAN,CAN,69,175,1974,6,104,19751976,N,426,122,136,258,122,136,258,9,375,0.61,101,209,16,37,5,12,0,12,715,17.1,--,--
2056,Cam Botting,R,R,1954-03-10,Kingston,ON,CAN,CAN,74,205,1974,4,64,19751976,N,2,0,1,1,0,1,1,1,0,0.5,0,1,0,0,0,0,0,0,0,--,--,--
2057,Paul McIntosh,R,D,1954-03-13,Listowel,ON,CAN,CAN,70,177,1974,4,65,19741975,N,48,0,2,2,0,2,2,-2,66,0.04,0,2,0,0,0,0,0,0,10,0,--,--
2058,Larry Hopkins,L,L,1954-03-17,Oshawa,ON,CAN,CAN,73,215,1974,9,152,19771978,N,60,13,16,29,13,16,29,9,26,0.48,13,29,0,0,0,0,0,4,71,18.3,--,--
2059,John Hughes,L,D,1954-03-18,Charlottetown,PE,CAN,CAN,71,200,1974,3,41,19791980,N,70,2,14,16,2,14,16,-6,211,0.23,2,16,0,0,0,0,0,0,58,3.5,--,--
2060,Gord Buynak,L,D,1954-03-19,Detroit,MI,USA,USA,73,180,1974,3,43,19741975,N,4,0,0,0,0,0,0,3,2,0.0,0,0,0,0,0,0,0,0,3,0,--,--
2061,Ulf Isaksson,L,L,1954-03-19,Norunda,--,SWE,SWE,73,185,1982,5,95,19821983,N,50,7,15,22,7,15,22,1,10,0.44,7,19,0,3,0,0,0,1,71,9.9,--,--
2062,Charlie Simmer,L,L,1954-03-20,Terrace Bay,ON,CAN,CAN,75,209,1974,3,39,19741975,N,712,342,369,711,342,369,711,115,544,1.0,215,463,125,246,2,2,2,42,"1,531",22.3,--,--
2063,James Warner,R,R,1954-03-26,Minneapolis,MN,USA,USA,70,180,1974,23,245,19791980,N,32,0,3,3,0,3,3,-6,10,0.09,0,3,0,0,0,0,0,0,26,0,--,--
2064,Ron Chipperfield,R,C,1954-03-28,Brandon,MB,CAN,CAN,71,186,1974,1,17,19791980,N,83,22,24,46,22,24,46,-24,34,0.55,19,40,2,5,1,1,0,2,155,14.2,--,--
2065,Steven Short,L,L,1954-04-06,Roseville,MN,USA,USA,74,209,1974,8,142,19771978,N,6,0,0,0,0,0,0,-5,2,0.0,0,0,0,0,0,0,0,0,2,0,--,--
2066,Clark Gillies,L,L,1954-04-07,Moose Jaw,SK,CAN,CAN,75,215,1974,1,4,19741975,Y,958,319,378,697,319,378,697,245,"1,025",0.73,226,499,93,198,0,0,0,44,"2,253",14.2,--,--
2067,David Hanson,L,D,1954-04-12,Cumberland,WI,USA,USA,72,190,--,--,--,19781979,N,33,1,1,2,1,1,2,-6,65,0.06,1,2,0,0,0,0,0,0,16,6.3,--,--
2068,Antero Lehtonen,L,R,1954-04-12,Tampere,--,FIN,FIN,72,185,--,--,--,19791980,N,65,9,12,21,9,12,21,-3,14,0.32,7,18,2,3,0,0,0,1,101,8.9,--,--
2069,Mike Zuke,R,C,1954-04-16,Sault Ste. Marie,ON,CAN,CAN,72,180,1974,5,79,19781979,N,455,86,196,282,86,196,282,-42,220,0.62,62,170,21,105,3,7,0,6,754,11.4,--,--
2070,Andy Spruce,L,L,1954-04-17,London,ON,CAN,CAN,70,174,1974,6,95,19761977,N,172,31,42,73,31,42,73,-45,111,0.42,26,61,5,12,0,0,0,1,229,13.5,--,--
2071,Gilles Lupien,L,D,1954-04-20,Brownsburg,QC,CAN,CAN,77,205,1974,2,33,19771978,N,226,5,25,30,5,25,30,42,416,0.13,5,30,0,0,0,0,0,1,147,3.4,--,--
2072,Pat Ribble,L,D,1954-04-26,Leamington,ON,CAN,CAN,75,209,1974,4,58,19751976,N,349,19,60,79,19,60,79,-14,365,0.23,15,70,4,8,0,1,0,2,416,4.6,--,--
2073,John Paul Evans,L,C,1954-05-02,Toronto,ON,CAN,CAN,69,185,1974,5,84,19781979,N,103,14,25,39,14,25,39,13,34,0.38,13,36,0,1,1,2,0,2,90,15.6,--,--
2074,Kevin Kemp,L,D,1954-05-03,Ottawa,ON,CAN,CAN,72,188,1974,8,138,19801981,N,3,0,0,0,0,0,0,-1,4,0.0,0,0,0,0,0,0,0,0,5,0,--,--
2075,Bruce Affleck,L,D,1954-05-05,Salmon Arm,BC,CAN,CAN,72,190,1974,2,21,19741975,N,280,14,66,80,14,66,80,-82,86,0.29,10,59,4,18,0,3,0,2,368,3.8,--,--
2076,John Taft,L,D,1954-05-08,Minneapolis,MN,USA,USA,74,194,1974,5,81,19781979,N,15,0,2,2,0,2,2,2,4,0.13,0,2,0,0,0,0,0,0,13,0,--,--
2077,Danny Gare,R,R,1954-05-14,Nelson,BC,CAN,CAN,69,175,1974,2,29,19741975,N,827,354,331,685,354,331,685,160,"1,285",0.83,273,527,79,153,2,5,0,43,"2,550",13.9,--,--
2078,Dave Langevin,L,D,1954-05-15,St. Paul,MN,USA,USA,74,200,1974,7,112,19791980,N,513,12,107,119,12,107,119,103,530,0.23,11,112,0,0,1,7,0,1,503,2.4,--,--
2079,Greg Joly,L,D,1954-05-30,Calgary,AB,CAN,CAN,73,190,1974,1,1,19741975,N,365,21,76,97,21,76,97,-165,250,0.27,12,62,7,32,2,3,0,3,464,4.5,--,--
2080,Gord McTavish,R,C,1954-06-03,Guelph,ON,CAN,CAN,76,200,1974,1,15,19781979,N,11,1,3,4,1,3,4,2,2,0.36,1,4,0,0,0,0,0,0,10,10,--,--
2081,Rick Jodzio,L,R,1954-06-03,Edmonton,AB,CAN,CAN,73,190,1974,9,153,19771978,N,70,2,8,10,2,8,10,-14,71,0.14,2,10,0,0,0,0,0,1,48,4.2,--,--
2082,Wally Weir,R,R,1954-06-03,Verdun,QC,CAN,CAN,74,205,--,--,--,19791980,N,320,21,45,66,21,45,66,-27,625,0.21,20,61,1,4,0,1,0,1,285,7.4,--,--
2083,John Paddock,--,R,1954-06-09,Brandon,MB,CAN,CAN,75,187,1974,3,37,19751976,N,87,8,14,22,8,14,22,-22,86,0.25,8,22,0,0,0,0,0,0,83,9.6,--,--
2084,Kurt Walker,R,D,1954-06-10,Weymouth,MA,USA,USA,75,200,--,--,--,19751976,N,71,4,5,9,4,5,9,-2,152,0.13,4,8,0,1,0,0,0,0,20,20,--,--
2085,Warren Miller,--,R,1954-06-15,St. Paul,MN,USA,USA,70,165,1974,21,241,19791980,N,262,40,50,90,40,50,90,-64,137,0.34,32,70,4,14,4,6,0,4,438,9.1,--,--
2086,Tony White,--,L,1954-06-16,Grand Falls,NL,CAN,CAN,70,174,1974,10,161,19741975,N,164,37,28,65,37,28,65,-62,104,0.4,27,50,9,13,1,2,0,5,311,11.9,--,--
2087,Jacques Cossette,R,R,1954-06-20,Rouyn-Noranda,QC,CAN,CAN,69,185,1974,2,27,19751976,N,64,8,6,14,8,6,14,-6,29,0.22,6,12,2,2,0,0,0,1,58,13.8,--,--
2088,Bob Bourne,L,C,1954-06-21,Kindersley,SK,CAN,CAN,75,200,1974,3,38,19741975,N,964,258,324,582,258,324,582,118,605,0.6,200,455,39,94,19,33,1,38,"1,741",14.8,--,--
2089,David Logan,L,D,1954-07-02,Montréal,QC,CAN,CAN,70,189,1974,5,88,19751976,N,218,5,29,34,5,29,34,-49,470,0.16,4,32,1,1,0,1,0,1,211,2.4,--,--
2090,Thomas Price,--,D,1954-07-12,Toronto,ON,CAN,CAN,72,189,1974,4,57,19741975,N,29,0,2,2,0,2,2,-20,12,0.07,0,2,0,0,0,0,0,0,19,0,--,--
2091,Rick Chartraw,R,D,1954-07-13,Caracas,--,VEN,VEN,74,210,1974,1,10,19741975,N,420,28,64,92,28,64,92,47,399,0.22,27,88,1,4,0,0,0,4,442,6.3,--,--
2092,Glenn Tomalty,--,C,1954-07-23,Lachute,QC,CAN,CAN,0,--,--,--,--,19791980,N,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,--,--
2093,Ray Maluta,L,D,1954-07-24,Flin Flon,MB,CAN,CAN,68,173,1974,7,126,19751976,N,25,2,3,5,2,3,5,1,6,0.2,2,4,0,1,0,0,0,0,26,7.7,--,--
2094,Derek Smith,L,C,1954-07-31,Quebec City,QC,CAN,CAN,70,180,1974,10,168,19751976,N,335,78,116,194,78,116,194,26,60,0.58,55,138,23,56,0,0,0,5,560,13.9,--,--
2095,Glen Burdon,L,C,1954-08-04,Regina,SK,CAN,CAN,74,178,1974,2,20,19741975,N,11,0,2,2,0,2,2,-3,0,0.18,0,2,0,0,0,0,0,0,2,0,--,--
2096,Cam Connor,L,R,1954-08-10,Winnipeg,MB,CAN,CAN,74,200,1974,1,5,19781979,N,89,9,22,31,9,22,31,13,256,0.35,9,29,0,2,0,0,0,0,82,11,--,--
2097,Roland Stoltz,R,R,1954-08-15,Oeverkalix,--,SWE,SWE,72,176,--,--,--,19811982,N,14,2,2,4,2,2,4,-3,14,0.29,2,3,0,1,0,0,0,0,6,33.3,--,--
2098,Jack Carlson,L,L,1954-08-23,Virginia,MN,USA,USA,75,205,1974,7,117,19781979,N,236,30,15,45,30,15,45,-2,417,0.19,29,44,1,1,0,0,0,2,160,18.8,--,--
2099,Alain Daigle,R,R,1954-08-24,Cap-de-la-Madeleine,QC,CAN,CAN,70,180,1974,2,34,19741975,N,389,56,50,106,56,50,106,-40,122,0.27,44,90,11,14,1,2,0,4,443,12.6,--,--
2100,Jerry Holland,L,L,1954-08-25,Beaverlodge,AB,CAN,CAN,70,180,1974,3,50,19741975,N,37,8,4,12,8,4,12,-4,6,0.32,6,9,2,3,0,0,0,1,51,15.7,--,--
2101,Kim MacDougall,L,D,1954-08-29,Regina,SK,CAN,CAN,71,180,1974,4,60,19741975,N,1,0,0,0,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,0,0,--,--,--
2102,Dave Lumley,R,R,1954-09-01,Toronto,ON,CAN,CAN,70,185,1974,12,199,19781979,N,437,98,160,258,98,160,258,39,673,0.59,88,224,9,31,1,3,0,15,606,16.2,--,--
2103,Kris Manery,R,R,1954-09-24,Leamington,ON,CAN,CAN,72,185,--,--,--,19771978,N,250,63,64,127,63,64,127,-61,91,0.51,44,94,18,32,1,1,0,2,506,12.5,--,--
2104,Frank Bathe,L,D,1954-09-27,Oshawa,ON,CAN,CAN,73,185,--,--,--,19741975,N,224,3,28,31,3,28,31,22,542,0.14,3,30,0,1,0,0,0,0,188,1.6,--,--
2105,Bill Lochead,L,L,1954-10-13,Forest,ON,CAN,CAN,73,195,1974,1,9,19741975,N,330,69,62,131,69,62,131,-73,180,0.4,58,105,10,25,1,1,0,11,547,12.6,--,--
